    0.000000       2.1959325E-07   4.7032660E-07   7.7979303E-07 
   1.1816032E-06   1.7183849E-06   2.4454575E-06   3.4354207E-06 
   4.7839285E-06   6.6169819E-06   9.1001266E-06   1.2450013E-05 
   1.6948852E-05   2.2962398E-05   3.0962179E-05   4.1552761E-05 
   5.5505025E-05   7.3796407E-05   9.7659293E-05   1.2863861E-04 
   1.6866012E-04   2.2011031E-04   2.8592956E-04   3.6971938E-04 
   4.7586497E-04   6.0967391E-04   7.7753147E-04   9.8707224E-04 
   1.2473684E-03   1.5691329E-03   1.9649358E-03   2.4494301E-03 
   3.0395852E-03   3.7549217E-03   4.6177395E-03   5.6533348E-03 
   6.8901987E-03   8.3601773E-03   1.0098601E-02   1.2144348E-02 
   1.4539852E-02   1.7331032E-02   2.0567119E-02   2.4300402E-02 
   2.8585847E-02   3.3480611E-02   3.9043423E-02   4.5333844E-02 
   5.2411426E-02   6.0334727E-02   6.9160245E-02   7.8941278E-02 
   8.9726716E-02   0.1015598       0.1144768       0.1285059     
   0.1436662       0.1599664       0.1774040       0.1959647     
   0.2156220       0.2363367       0.2580570       0.2807189     
   0.3042465       0.3285531       0.3535421       0.3791080     
   0.4051384       0.4315150       0.4581157       0.4848163     
   0.5115103       0.5380723       0.5643801       0.5903149     
   0.6157628       0.6406167       0.6647767       0.6881522     
   0.7106623       0.7322368       0.7528169       0.7723551     
   0.7908162       0.8081765       0.8244234       0.8395557     
   0.8535820       0.8665208       0.8783986       0.8892498     
   0.8991150       0.9080402       0.9160756       0.9232745     
   0.9296924       0.9353860       0.9404119       0.9448266     
   0.9486851       0.9520406       0.9549441       0.9574438     
   0.9595849       0.9614094       0.9629563       0.9642609     
   0.9653554       0.9662688       0.9670268       0.9676526     
   0.9681661       0.9685852       0.9689251       0.9691992     
   0.9694187       0.9695932       0.9697311       0.9698390     
   0.9699228       0.9699872       0.9700361       0.9700726     
   0.9700996       0.9701189       0.9701324       0.9701413     
   0.9701468       0.9701497       0.9701507       0.9701502     
   0.9701487       0.9701466       0.9701439       0.9701409     
   0.9701378       0.9701346       0.9701313       0.9701281     
   0.9701250       0.9701219       0.9701189       0.9701161     
   0.9701135       0.9701109       0.9701084       0.9701061     
   0.9701039       0.9701018       0.9700999       0.9700980     
   0.9700963       0.9700947       0.9700931       0.9700916     
   0.9700903       0.9700890       0.9700878       0.9700867     
   0.9700856       0.9700846       0.9700837       0.9700829     
   0.9700820       0.9700813       0.9700806       0.9700800     
   0.9700794       0.9700789       0.9700784       0.9700779     
   0.9700775       0.9700772       0.9700769       0.9700766     
   0.9700763       0.9700760       0.9700758       0.9700757     
   0.9700755       0.9700754       0.9700753       0.9700752     
